0,1
1,1
2,0
3,0
4,1
5,0.5
6,1
7,0
8,1
9, 
10,1
13,0
14,0
15,0
17,0
18,0
19,1
20,0
21, 
22,1
23,1
25,0
26,1
28,0
29,0
30,0.5
31,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,0.5
41,1
42,0
43,1
44,1
45, 
46,0
47,0
48,0.5
49,0
50,1
51,1
52,0.5
53,0.5
54,1
56,0
57,0
58,0.5
61,0
62,0
63,0
64,0
65,0.5
66,0
67,0.5
68,0
69,0
70,0
71, 
72,0
73,1
74,0
75,1
76, 
77,0
78,1
79,1
80,0
81,1
82,0.5
83,0
84,0.5
85,0
86,1
87,0
88,1
89, 
90,0
91,1
92,0
93,0
94,0
95,0
96, 
97,1
98,1
99,1
100,0
101,1
103,1
105,0.5
106,0
107,0.5
108,1
109,0
110,1
111, 
112,0.5
113,0
114,0
115,0
116,1
117,0
118,0
119,0.5
120, 
121,0
123,0
124,0
125,0
126,0
128,0
129,0
130,1
131,0
132,0
133,0.5
134, 
135,1
136,1
137,0
138,0
139,0.5
141,0.5
142,0
144,1
145, 
147, 
148,1
149,0.5
150,0
