0,1
1,1
2,1
3,1
4, 
5,1
6,0.5
7, 
8,1
9, 
10,0.5
11,1
12, 
13,0.5
14, 
15,0.5
16,1
17,1
18, 
19,0.5
20,1
21,1
22,1
23,1
24,0.5
25,0.5
26, 
27,1
28,1
29,0.5
30,0.5
31,0.5
32,1
33,1
34,0.5
35,1
36,0
37,1
38,0.5
39, 
40,1
41,0.5
42,1
43,1
44, 
45, 
46,0
47,0
48,0.5
49, 
50,0
51,1
52,0.5
53,1
54,0.5
55,1
56, 
57,1
58,0.5
59,1
60,0.5
61,0.5
62, 
63,1
64, 
65,1
66,0.5
67,0.5
68,0.5
69,1
70,1
71, 
72,0.5
73, 
74, 
75,0
76,1
77,1
78,1
79, 
80, 
81,0.5
82,1
83,1
84,0.5
85, 
86,1
87,0.5
88,1
89, 
90,0.5
91,0
92,1
93,1
94, 
95,1
96, 
97,1
98,1
99, 
100,1
101,0.5
102,1
103,0.5
104,1
105,1
106,1
107,1
108,0.5
109,1
110,1
111,0.5
112,1
113,1
114,1
115, 
116,1
117,0.5
118,1
119,1
120, 
121,0.5
122,0.5
123,1
124,0.5
125,0.5
126,1
127,0.5
128,1
129,0
130,0.5
131,0.5
132,0.5
133,0.5
134, 
135,0.5
136,0.5
137, 
138,1
139,0.5
140,0.5
141, 
142,0.5
143,1
144,0.5
145, 
146,1
147, 
148,1
149, 
150, 
